,DVC Code,Company Name,Business Nature,business Sector,Business Industry,Listed,Legal status,User Key,User Name,Firm Key,Firm Name,Service Category,Service Name,Document Date,Document,Reference Law,DVC Date,Day,Month,Year
25425,2111250620CC517141,ARAMIT LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,620,Haradhan  Dey FCA,F-0088,M R H Dey & Co.,Certification,Corporate Governance Certification,11/25/2021,Certification for CG Governance,Others,2021-11-25,25,November,2021
25426,2112200461AS506053,BANGLADESH ZIPPER INDUSTRIES LTD.,Others,Textiles,Others,Y,Public Limited Company,461,Md Shirazul Islam Khan FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-12-20,20,December,2021
25427,2112210240AS284483,ALIF MANUFACTURING COMPANY LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,11/10/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-12-21,21,December,2021
25431,2112261184AS593930,EASTERN LUBRICANTS BLENDERS LIMITED,Others,Chemical,Others,Y,Public Limited Company,1184,Arafat  Kamal FCA,F-0115,Rahman Mostafa Alam & Co.,Audit,Statutory Audit,12/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-12-26,26,December,2021
25433,2112261032AS811831,BD THAI FOOD & BEVERAGE LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,11/10/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-12-26,26,December,2021
25434,2111280264AS687720,BEACON PHARMACEUTICALS LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,264,Md  Waliuzzaman FCA,F-0139,Toha Khan Zaman & Co.,Audit,Statutory Audit,11/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-28,28,November,2021
25436,2111100178AS575345,DESH GARMENTS LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,178,Chitta Ranjan Mazumder FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-10,10,November,2021
25437,2111150478AS683270,PAPER PROCESSING AND PACKAGING LTD,Paper,Other Manufacturing,Paper,Y,Public Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,11/13/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-15,15,November,2021
25438,2111040247AS510179,SHYAMPUR SUGAR MILLS LIMITED,Sugar,Food & Allied,Sugar,Y,Public Limited Company,247,Md  Waliullah FCA,F-0094,Malek Siddiqui Wali,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25439,2111080458AS859848,NATIONAL FEED MILL LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,458,AKM Mohitul Haq FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25440,2111130595AS445727,PACIFIC DENIMS LIMITED,Denims,Textiles,Denims,Y,Public Limited Company,595,Md Shafiqul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"Bangladesh Securities and Exchange Commission Act, 1993",2021-11-13,13,November,2021
25441,2110311772AS685000,THE ACME LABORATORIES LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-31,31,October,2021
25442,2111010105AS863370,SQUARE PHARMACEUTICALS LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,105,Howlader Mahfel Huq FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-01,01,November,2021
25443,2111080804AS382276,BASHUNDHARA PAPER MILLS LIMITED,Paper,Other Manufacturing,Paper,Y,Public Limited Company,804,Md Aftab Uddin Ahmed FCA,F-0034,Aziz Halim Khair Choudhury,Audit,Statutory Audit,11/7/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25444,2111100415CC868730,MALEK SPINNING MILLS LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,415,Dipak Ranjan Datta FCA,F-0041,Das Chowdhury Dutta & Co.,Certification,Corporate Governance Certification,11/10/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-11-10,10,November,2021
25445,2111140392AS283035,LEGACY FOOTWEAR LIMITED,Footwear,Tannery,Footwear,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,11/14/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-14,14,November,2021
25446,2111091046AS481447,ALIF INDUSTRIES LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,11/9/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
25447,2111151497CC338526,NAHEE ALUMINUM COMPOSITE PANEL LTD.,Aluminium,Metal Industries,Aluminium,Y,Public Limited Company,1497,Mohammad Abu Kawsar FCA,F-0137,T Hussain & Co.,Certification,Corporate Governance Certification,11/15/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-11-15,15,November,2021
25449,2111080779AS154094,GPH ISPAT LIMITED,Others,Metal Industries,Others,Y,Public Limited Company,779,Sarwar  Uddin FCA,F-0061,Hussain Farhad & Co.,Audit,Statutory Audit,11/8/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25450,2111110625AS691321,EASTERN CABLES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,625,Sampad Kumar Basak FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,11/10/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-11,11,November,2021
25451,2111011268AS157065,AZIZ PIPES LIMITED,Plastic,Other Manufacturing,Plastic,Y,Public Limited Company,1268,Md.  Anwaruzzaman FCA,F-0115,Rahman Mostafa Alam & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-01,01,November,2021
25454,2111100415CC932208,RAHIM TEXTILE MILLS LIMITED,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,415,Dipak Ranjan Datta FCA,F-0041,Das Chowdhury Dutta & Co.,Certification,Corporate Governance Certification,11/10/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-11-10,10,November,2021
25455,2111131772AS860924,ASSOCIATED OXYGEN LIMITED,Others,Chemical,Others,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-13,13,November,2021
25456,2111040392AS482376,JMI HOSPITAL REQUISITE MANUFACTURING LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25457,2111081016AS790533,USMANIA GLASS SHEET FACTORY LIMITED,Glass,Glass & Ceramics,Glass,Y,Public Limited Company,1016,Mohammad  Shaheed FCA,F-0077,Khan Wahab Shafique Rahman & Co.,Audit,Statutory Audit,11/8/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25458,2111080458AS902659,ARGON DENIMS LIMITED,Denims,Textiles,Denims,Y,Public Limited Company,458,AKM Mohitul Haq FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25460,2110280564AS611631,BEXIMCO PHARMACEUTICALS LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,564,Mahmood Hasan FCA,F-0083,M J Abedin & Co.,Audit,Statutory Audit,10/21/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-28,28,October,2021
25461,2111010240AS826280,M. L. DYEING LIMITED,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,10/31/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-01,01,November,2021
25462,2111030240AS428493,GBB POWER LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-03,03,November,2021
25463,2111090469AS467073,NATIONAL TEA COMPANY LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,469,A F  Nesaruddin FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,10/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
25464,2111090268AS598181,OIMEX ELECTRODE LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,268,AFM  Alamgir FCA,F-0025,ARTISAN,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
25465,2111070596AS751142,ZAHINTEX INDUSTRIES LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,596,Md Iqbal Hossain FCA,F-0142,Zoha Zaman Kabir Rashid & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-07,07,November,2021
25466,2111091458AS487500,STYLECRAFT LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,1458,Mohammad Anwarul Hoque FCA,F-0123,S K Barua & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
25467,2111131772AS958877,NEW LINE CLOTHINGS LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-13,13,November,2021
25468,2111170595AS703363,SAMATA LEATHER COMPLEX LIMITED,Others,Tannery,Others,Y,Public Limited Company,595,Md Shafiqul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,11/14/2021,Auditors Report and Financial Statements ,"Bangladesh Securities and Exchange Commission Act, 1993",2021-11-17,17,November,2021
25469,2111021729AS505012,"RENWICK, JAJNESWAR & CO. LIMITED",Others,Other Manufacturing,Others,Y,Public Limited Company,1729,Mohan Adhikari FCA,F-0112,Pinaki & Company,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-02,02,November,2021
25470,2111041204CC187014,FAR EAST KNITTING & DYEING INDUSTRIES LTD,Garments,Textiles,Garments,Y,Public Limited Company,1204,Mohammad Mofizul Haque Rinku FCA,F-0115,Rahman Mostafa Alam & Co.,Certification,Corporate Governance Certification,10/17/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-11-04,04,November,2021
25471,2111041772AS838927,DULAMIA COTTON SPINNING MILLS LTD.,Spinning,Textiles,Spinning,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25472,2111080178AS453457,PARAMOUNT TEXTILE LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,178,Chitta Ranjan Mazumder FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25473,2110310105AS414860,SQUARE PHARMACEUTICALS LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,105,Howlader Mahfel Huq FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,7/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-31,31,October,2021
25474,2111031204AS114467,ALLTEX INDUSTRIES LIMITED,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,1204,Mohammad Mofizul Haque Rinku FCA,F-0115,Rahman Mostafa Alam & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-03,03,November,2021
25475,2111080695AS390068,ORION INFUSION LTD,Infusion,Medicine & Healthcare,Infusion,Y,Public Limited Company,695,Abu  Sharf Manjurul Hoque FCA,F-0044,FAMES & R,Audit,Statutory Audit,6/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25477,2111010471AS414499,RANGPUR FOUNDRY LIMITED ,Others,Other Manufacturing,Others,Y,Public Limited Company,471,Md Enamul Haque Choudhury FCA,F-0121,S F Ahmed & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-01,01,November,2021
25478,2111020137AS356872,KDS ACCESSORIES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,11/2/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-02,02,November,2021
25479,2111141591AS144102,AFC AGRO BIOTECH LIMITED,Others,Chemical,Others,Y,Public Limited Company,1591,Faruk  Ahmed FCA,F-0077,Khan Wahab Shafique Rahman & Co.,Audit,Statutory Audit,10/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-14,14,November,2021
25480,2111211046AS595266,KATTALI TEXTILE LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,11/21/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-21,21,November,2021
25481,2111221363AS136149,GQ BALL PEN INDUSTRIES LIMITED,Plastic,Other Manufacturing,Plastic,Y,Public Limited Company,1363,Tarek  Rashid FCA,F-0142,Zoha Zaman Kabir Rashid & Co.,Audit,Statutory Audit,11/13/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-22,22,November,2021
25482,2110310331AS208606,CVO PETROCHEMICAL REFINERY LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,331,Md Amirul Islam FCA,F-0072,K M Hasan & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-31,31,October,2021
25483,2110280165AS574771,MEGHNA CONDENSED MILK INDUSTRIES LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-28,28,October,2021
25484,2110310950AS736974,MATIN SPINNING MILLS LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,950,Mohammad Motaleb Hossain FCA,F-0010,A Qasem & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-31,31,October,2021
25485,2111041546AS383566,BENGAL WINDSOR THERMOPLASTICS LIMITED,Others,Textiles,Others,Y,Public Limited Company,1546,Abu  Nasser FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,10/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25486,2111210199AS316718,FU-WANG FOODS LIMITED,Bakery,Food & Allied,Bakery,Y,Public Limited Company,199,Jagadish Chandra Biswas FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,11/14/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-21,21,November,2021
25487,2111101204AS940362,SAFKO SPINNING MILLS LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,1204,Mohammad Mofizul Haque Rinku FCA,F-0115,Rahman Mostafa Alam & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-10,10,November,2021
25488,2111010599AS164039,SILVA PHARMACEUTICALS LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,599,Bhudhar  Chakraborty FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,11/1/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-01,01,November,2021
25491,2110310247AS614464,BARAKA PATENGA POWER LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,247,Md  Waliullah FCA,F-0094,Malek Siddiqui Wali,Audit,Statutory Audit,10/31/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-31,31,October,2021
25492,2111010950AS850379,KHULNA POWER COMPANY LTD.,Others,Other Manufacturing,Others,Y,Public Limited Company,950,Mohammad Motaleb Hossain FCA,F-0010,A Qasem & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-01,01,November,2021
25494,2111080392AS236464,SINOBANGLA INDUSTRIES LTD.,Plastic,Other Manufacturing,Plastic,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25496,2111021046AS105268,BANGAS LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,11/2/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-02,02,November,2021
25497,2110311046AS456671,LUB-REFF(BANGLADESH) LIMITED,Others,Chemical,Others,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,10/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-31,31,October,2021
25498,2111040407AS546851,AFTAB AUTOMOBILES LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,407,AKM Aminul Hoque FCA,F-0004,A Hoque & Co.,Audit,Statutory Audit,10/26/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25499,2111040268AS806583,OLYMPIC ACCESSORIES LTD.,Others,Other Manufacturing,Others,Y,Public Limited Company,268,AFM  Alamgir FCA,F-0025,ARTISAN,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25500,2111040625AS281365,ARAMIT LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,625,Sampad Kumar Basak FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,11/4/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25502,2111111522AS787188,MEGHNA CEMENT MILLS LTD.,Cements,Cements,Cements,Y,Public Limited Company,1522,Md. Abdus Satter Sarkar FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-11,11,November,2021
25503,2111141522AS712158,ESQUIRE KNIT COMPOSITE LTD.,Garments,Textiles,Garments,Y,Public Limited Company,1522,Md. Abdus Satter Sarkar FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,10/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-14,14,November,2021
25504,2111220458AS689595,EVINCE TEXTILES LIMITED,Weaving,Textiles,Weaving,Y,Public Limited Company,458,AKM Mohitul Haq FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-22,22,November,2021
25505,2110280247AS309325,RAHIM TEXTILE MILLS LIMITED,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,247,Md  Waliullah FCA,F-0094,Malek Siddiqui Wali,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-28,28,October,2021
25507,2111010247AS450057,SAVAR REFRACTORIES LIMITED,Bricks,Glass & Ceramics,Bricks,Y,Public Limited Company,247,Md  Waliullah FCA,F-0094,Malek Siddiqui Wali,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,Others,2021-11-01,01,November,2021
25508,2111011772AS848450,AL-HAJ TEXTILE MILLS LTD.,Spinning,Textiles,Spinning,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-01,01,November,2021
25509,2111030392AS741135,JMI SYRINGES AND MEDICAL DEVICES LIMITED,Pharmaceuticals,Medicine & Healthcare,Pharmaceuticals,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-03,03,November,2021
25512,2110280165AS662651,MEGHNA PET INDUSTRIES LIMITED,Edible Oil,Food & Allied,Edible Oil,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-28,28,October,2021
25513,2111021885AS449198,SAIHAM TEXTILE MILLS LTD.,Spinning,Textiles,Spinning,Y,Public Limited Company,1885,Md. Tanjilur Rahman FCA,F-0077,Khan Wahab Shafique Rahman & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-02,02,November,2021
25515,2111111032AS726184,GOLDEN SON LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,6/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-11,11,November,2021
25516,2111130535AS661376,GOLDEN HARVEST AGRO INDUSTRIES LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,535,Nasir Uddin Ahmed FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-13,13,November,2021
25517,2111020527AS468471,OLYMPIC INDUSTRIES LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,527,Kamrul  Abedin FCA,F-0083,M J Abedin & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-02,02,November,2021
25518,2111021772AS233080,JUTE SPINNERS LIMITED,Twine & sack ,Jute,Twine & sack ,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/31/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-02,02,November,2021
25519,2111070527AS991398,AGRICULTURAL MARKETING CO. LTD. ,Others,Food & Allied,Others,Y,Public Limited Company,527,Kamrul  Abedin FCA,F-0083,M J Abedin & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-07,07,November,2021
25520,2111091772AS585330,VFS THREAD DYEING LIMITED,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,1772,Chaity  Basak ACA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
25521,2111090970AS441627,AMAN FEED LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,970,Mohammad  Showket Akber FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/31/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
25522,2110310915AS865518,GEMINI SEA FOOD LIMITED,Others,Food & Allied,Others,Y,Public Limited Company,915,Abdulla Al Mahmud FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-31,31,October,2021
25523,2111040392AS228776,SHAHJIBAZAR POWER COMPANY LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-04,04,November,2021
25524,2111070779AS678688,CONFIDENCE CEMENT LIMITED,Cements,Cements,Cements,Y,Public Limited Company,779,Sarwar  Uddin FCA,F-0061,Hussain Farhad & Co.,Audit,Statutory Audit,10/30/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-07,07,November,2021
25525,2111140196AS130500,AMBEE PHARMACEUTICALS LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,196,Md Showkat Hossain FCA,F-0011,A Wahab & Co.,Audit,Statutory Audit,11/14/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-14,14,November,2021
25526,2111091046AS825952,ALIF INDUSTRIES LIMITED,Garments,Textiles,Garments,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,11/8/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-09,09,November,2021
25527,2110271046AS943045,SAIF POWERTEC LIMITED,Others,Other Manufacturing,Others,Y,Public Limited Company,1046,Md. Mohiuddin Ahmed FCA,F-0027,Ashraf Uddin & Co.,Audit,Statutory Audit,10/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-10-27,27,October,2021
25528,2109210199AS970338,SONALI PAPER & BOARD MILLS LIMITED,Paper,Other Manufacturing,Paper,Y,Public Limited Company,199,Jagadish Chandra Biswas FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,9/16/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-09-21,21,September,2021
25529,2111080151AS924653,SIMTEX INDUSTRIES LIMITED,Spinning,Textiles,Spinning,Y,Public Limited Company,151,Pinaki  Das FCA,F-0112,Pinaki & Company,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25530,2111080151AS757351,QUEEN SOUTH TEXTILE MILLS LTD.,Washing & Dyeing,Textiles,Washing & Dyeing,Y,Public Limited Company,151,Pinaki  Das FCA,F-0112,Pinaki & Company,Audit,Statutory Audit,10/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-08,08,November,2021
25531,2111110199AS482463,STANDARD CERAMIEC INDUSTRIES LIMITED,Ceramics,Glass & Ceramics,Ceramics,Y,Public Limited Company,199,Jagadish Chandra Biswas FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,11/3/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-11-11,11,November,2021
